,CSD201,DBI201,CSD202,DBI202,CSD203,DBI203,CSD204,DBI204,CSD205,DBI205,CSD206,DBI206,CSD207,DBI207,CSD208,DBI208
t1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
t5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
t8,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
t9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
t10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
t11,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
t12,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
t13,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
t14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
t15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
t16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
