Class,Subject,Slot,Slot1,Slot2,Room,Room2,Note
AI1910,CSD201,A24,,,DE-436,,
AI1911,DBI201,A24,,,DE-430,,
AI1912,CSD201,A42,,,DE-424,,
AI1913,DBI201,A42,,,DE-418,,
AI1914,CSD202,A24,,,DE-436,,
AI1915,DBI202,A24,,,DE-430,,
AI1916,CSD202,A42,,,DE-424,,
AI1917,DBI202,A42,,,DE-418,,
AI1918,CSD203,A24,,,DE-436,,
AI1919,DBI203,A24,,,DE-430,,
AI1920,CSD203,A42,,,DE-424,,
AI1921,DBI203,A42,,,DE-418,,
AI1922,CSD204,A24,,,DE-436,,
AI1923,DBI204,A24,,,DE-430,,
AI1924,CSD204,A42,,,DE-424,,
AI1925,DBI204,A42,,,DE-418,,
AI1926,CSD205,A25,,,DE-436,,
AI1927,DBI205,A25,,,DE-430,,
AI1928,CSD205,A52,,,DE-424,,
AI1929,DBI205,A52,,,DE-418,,
AI1930,CSD206,A25,,,DE-436,,
AI1931,DBI206,A25,,,DE-430,,
AI1932,CSD206,A52,,,DE-424,,
AI1933,DBI206,A52,,,DE-418,,
AI1934,CSD207,A25,,,DE-436,,
AI1935,DBI207,A25,,,DE-430,,
AI1936,CSD207,A52,,,DE-424,,
AI1937,DBI207,A52,,,DE-418,,
AI1938,CSD208,A25,,,DE-436,,
AI1939,DBI208,A25,,,DE-430,,
AI1940,CSD208,A52,,,DE-424,,
AI1941,DBI208,A52,,,DE-418,,
