Class,Subject,Slot,Slot1,Slot2,Room,Room2,Note
AI1910,CSD203,P52,,,DE-436,,
AI1911,DBI202,A24,,,DE-430,,
AI1912,CSD204,P53,,,DE-424,,
AI1913,DBI203,A25,,,DE-418,,
AI1914,CSD203,A35,,,DE-436,,
AI1915,DBI202,P64,,,DE-430,,
AI1916,CSD204,A53,,,DE-424,,
AI1917,DBI203,P25,,,DE-418,,
AI1918,CSD203,P46,,,DE-436,,
AI1919,DBI202,A46,,,DE-430,,
AI1920,CSD204,P24,,,DE-424,,
AI1921,DBI203,A42,,,DE-418,,
AI2007,PFP191,P64,,,BE-415,,
AS2001,PRF192,A63,,,DE-C208,,
AI1922,CSD203,P46,,,DE-436,,
AI1923,DBI202,A64,,,DE-430,,
AI1924,CSD204,P63,,,DE-424,,
AI1925,DBI203,A63,,,DE-418,,
